bot_id,mice_type,steps,alpha
1,2,1619,0.09
2,2,752,0.11
2,2,1020,0.09
1,2,654,0.06
1,2,425,0.05
1,2,1124,0.1
1,2,701,0.12
2,2,968,0.06
1,2,135,0.09
1,2,239,0.13
2,2,620,0.12
2,2,406,0.09
2,2,980,0.1
2,2,668,0.08
2,2,680,0.07
1,2,435,0.06
1,2,579,0.07
1,2,468,0.05
2,2,1018,0.11
2,2,582,0.06
2,2,562,0.09
2,2,370,0.07
2,2,170,0.11
1,2,552,0.09
1,2,668,0.12
2,2,1804,0.05
1,2,573,0.13
2,2,1174,0.12
2,2,1092,0.1
1,2,433,0.05
1,2,1321,0.08
1,2,1154,0.1
1,2,554,0.06
2,2,1220,0.08
2,2,436,0.11
2,2,556,0.07
2,2,782,0.09
1,2,726,0.07
1,2,310,0.13
2,2,1616,0.06
1,2,529,0.12
2,2,402,0.07
2,2,404,0.11
2,2,1208,0.05
2,2,1016,0.12
2,2,1108,0.1
1,2,848,0.09
2,2,1004,0.08
1,2,590,0.08
2,2,936,0.09
1,2,581,0.07
1,2,732,0.06
2,2,452,0.12
1,2,423,0.12
1,2,177,0.09
2,2,856,0.07
2,2,1120,0.06
2,2,716,0.05
2,2,1016,0.11
2,2,746,0.1
1,2,1018,0.1
2,2,612,0.08
1,2,1256,0.05
2,2,812,0.09
2,2,296,0.12
1,2,331,0.06
1,2,1064,0.13
1,2,414,0.07
2,2,396,0.07
1,2,637,0.08
2,2,438,0.11
1,2,649,0.12
2,2,724,0.1
2,2,400,0.12
2,2,988,0.05
1,2,682,0.09
2,2,874,0.08
2,2,662,0.07
1,2,550,0.05
2,2,540,0.11
1,2,347,0.08
2,2,1452,0.06
2,2,1242,0.09
1,2,556,0.07
1,2,234,0.12
1,2,627,0.13
2,2,538,0.12
2,2,934,0.1
1,2,515,0.09
1,2,1283,0.1
1,2,351,0.08
2,2,1038,0.08
2,2,772,0.07
2,2,796,0.11
2,2,812,0.06
2,2,502,0.12
2,2,1274,0.05
2,2,626,0.09
1,2,1349,0.06
2,2,484,0.1
1,2,639,0.05
1,2,533,0.12
1,2,569,0.07
1,2,643,0.13
2,2,366,0.12
2,2,482,0.11
2,2,562,0.07
2,2,772,0.08
2,2,312,0.1
2,2,648,0.05
2,2,802,0.09
1,2,703,0.09
1,2,402,0.06
2,2,1028,0.06
1,2,419,0.07
2,2,520,0.12
2,2,354,0.1
1,2,679,0.05
2,2,606,0.08
2,2,408,0.09
1,2,1151,0.1
2,2,796,0.05
2,2,942,0.11
1,2,1148,0.08
1,2,875,0.12
1,2,257,0.07
2,2,220,0.1
2,2,930,0.06
1,2,725,0.06
1,2,1147,0.13
1,2,522,0.05

1,2,1556,0.09
2,2,940,0.09
1,2,569,0.08
2,2,220,0.12
2,2,240,0.1
2,2,418,0.06
1,2,218,0.07
1,2,250,0.05
2,2,648,0.09
2,2,656,0.08
2,2,668,0.05
1,2,361,0.13
2,2,768,0.11
1,2,604,0.12
1,2,676,0.1
2,2,1430,0.07
1,2,950,0.09
1,2,523,0.08
2,2,428,0.08
2,2,860,0.1
1,2,1202,0.06
1,2,385,0.05
2,2,640,0.09
2,2,962,0.06
2,2,104,0.07
2,2,756,0.11
1,2,607,0.07
2,2,1958,0.12
2,2,1544,0.05
1,2,783,0.12
1,2,352,0.09
1,2,158,0.06
2,2,688,0.1
2,2,310,0.07
2,2,482,0.06
2,2,888,0.08
1,2,217,0.07
2,2,602,0.11
1,2,1333,0.13
1,2,435,0.05
2,2,280,0.05
2,2,418,0.12
2,2,1228,0.09
1,2,305,0.12
1,2,352,0.09
1,2,1156,0.08
1,2,1606,0.1
2,2,214,0.11
2,2,780,0.1
1,2,271,0.07
2,2,646,0.08
2,2,1208,0.07
1,2,437,0.05
2,2,648,0.05
1,2,846,0.06
2,2,742,0.12
2,2,1484,0.06
2,2,992,0.09
1,2,176,0.08
1,2,434,0.12
1,2,430,0.09
1,2,1142,0.13
2,2,2244,0.11
1,2,1323,0.1
2,2,982,0.06
2,2,710,0.09
1,2,258,0.08
1,2,1014,0.12
1,2,561,0.09
1,2,498,0.13
2,2,288,0.11
1,2,418,0.1
1,2,648,0.06
2,2,928,0.08
2,2,590,0.07
1,2,180,0.05
1,2,110,0.12
1,2,198,0.09
2,2,640,0.09
2,2,836,0.06
1,2,435,0.13
2,2,1336,0.11
2,2,306,0.08
1,2,69,0.12
1,2,457,0.05
2,2,980,0.07
1,2,1119,0.08
1,2,530,0.1
2,2,594,0.09
1,2,336,0.13
2,2,706,0.06
1,2,611,0.09
2,2,544,0.08
1,2,346,0.12
2,2,1006,0.11
1,2,189,0.05
1,2,1274,0.06
2,2,504,0.07
2,2,460,0.09
2,2,344,0.06
1,2,437,0.13
1,2,428,0.09
1,2,762,0.08
2,2,506,0.08
1,2,910,0.1
2,2,668,0.11
1,2,360,0.06
2,2,526,0.09
2,2,716,0.07
2,2,1292,0.06
1,2,1028,0.05
1,2,1235,0.12
2,2,644,0.11
1,2,382,0.1
2,2,1092,0.08
1,2,742,0.09
2,2,616,0.09
2,2,688,0.07
1,2,1042,0.13
1,2,984,0.08
2,2,478,0.06
1,2,343,0.12
2,2,588,0.08
1,2,489,0.05
2,2,774,0.11
1,2,1196,0.06
2,2,402,0.07
1,2,425,0.09
1,2,628,0.1
2,2,1272,0.09
2,2,732,0.06
2,2,494,0.11
1,2,880,0.13
2,2,806,0.08
1,2,206,0.09
1,2,398,0.05
2,2,918,0.07
1,2,1153,0.08
1,2,563,0.06
2,2,486,0.09
2,2,344,0.06
1,2,500,0.1
2,2,528,0.11
2,2,594,0.08
1,2,1499,0.12
2,2,714,0.07
2,2,704,0.09
1,2,637,0.09
2,2,638,0.06
1,2,751,0.13
1,2,647,0.08
1,2,873,0.05
2,2,468,0.11
2,2,522,0.08
1,2,1075,0.06
1,2,965,0.1
1,2,1403,0.12
2,2,528,0.11
2,2,774,0.08
1,2,874,0.1
1,2,879,0.06
1,2,732,0.13
1,2,374,0.08
1,2,849,0.05
1,2,324,0.09
2,2,496,0.06
1,2,462,0.12
2,2,642,0.08
1,2,387,0.1
2,2,1854,0.11
2,2,784,0.06
1,2,734,0.05
2,2,414,0.08
1,2,847,0.09
2,2,588,0.11
2,2,194,0.06
1,2,498,0.1
1,2,519,0.12
1,2,1257,0.06
1,2,1340,0.13
1,2,1364,0.08
2,2,816,0.11
1,2,217,0.12
2,2,778,0.06
2,2,1442,0.08
1,2,699,0.09
1,2,354,0.06
1,2,609,0.1
1,2,1099,0.05
1,2,552,0.13
2,2,420,0.11
1,2,794,0.08
2,2,662,0.06
2,2,722,0.08
1,2,455,0.06
1,2,956,0.12
2,2,906,0.11
1,2,988,0.1
2,2,584,0.06
2,2,644,0.08
1,2,1317,0.09
1,2,1144,0.05
1,2,1113,0.13
1,2,936,0.08
1,2,497,0.06
1,2,304,0.12
2,2,490,0.06
1,2,202,0.05
2,2,1474,0.11
1,2,564,0.09
2,2,1286,0.08
1,2,801,0.1
1,2,529,0.08
2,2,660,0.06
1,2,1017,0.13
1,2,309,0.05
1,2,1008,0.06
1,2,1028,0.12
2,2,598,0.08
2,2,1104,0.11
2,2,728,0.06
1,2,802,0.1
2,2,388,0.08
1,2,1027,0.08
2,2,522,0.11
1,2,1441,0.09
1,2,962,0.05
1,2,1062,0.13
1,2,935,0.06
2,2,660,0.06
1,2,1150,0.12
2,2,830,0.11
1,2,821,0.1
2,2,1248,0.08
2,2,724,0.06
1,2,568,0.05
1,2,1098,0.08
1,2,334,0.12
1,2,875,0.09
2,2,452,0.08
1,2,427,0.1
2,2,928,0.11
1,2,1193,0.13
1,2,72,0.09
2,2,702,0.06
1,2,1447,0.06
2,2,84,0.08
1,2,358,0.08
1,2,765,0.05
1,2,282,0.1
2,2,760,0.11
1,2,198,0.06
2,2,330,0.08
2,2,646,0.06
1,2,214,0.08
1,2,744,0.13
1,2,1428,0.12
1,2,449,0.05
2,2,760,0.11
1,2,1144,0.09
1,2,1171,0.1
1,2,240,0.12

2,2,896,0.08
1,2,870,0.08
1,2,680,0.06
1,2,845,0.09
1,2,370,0.1
1,2,492,0.05
2,2,530,0.11
2,2,808,0.08
1,2,685,0.12
1,2,247,0.1
2,2,720,0.11
2,2,836,0.06
1,2,538,0.09
2,2,492,0.08
1,2,871,0.05
1,2,945,0.06
2,2,106,0.11
1,2,1111,0.08
1,2,135,0.09
1,2,753,0.12
2,2,662,0.06
2,2,428,0.08
1,2,1057,0.1
2,2,658,0.11
1,2,438,0.06
2,2,256,0.06
1,2,649,0.05
1,2,509,0.08
1,2,323,0.12
2,2,776,0.08
1,2,829,0.09
2,2,448,0.11
2,2,720,0.06
1,2,577,0.1
1,2,372,0.08
1,2,587,0.05
2,2,264,0.11
1,2,386,0.09
2,2,884,0.08
2,2,464,0.06
1,2,1037,0.12
1,2,416,0.1
1,2,1707,0.06
2,2,794,0.11
1,2,760,0.08
2,2,856,0.08
2,2,1290,0.06
1,2,263,0.06
1,2,1051,0.09
1,2,844,0.12
2,2,604,0.11
1,2,1461,0.05
2,2,904,0.08
1,2,664,0.08
1,2,104,0.06
2,2,430,0.06
1,2,51,0.09
1,2,1261,0.1
2,2,386,0.11
2,2,490,0.08
1,2,750,0.12
1,2,752,0.05
1,2,304,0.1
2,2,892,0.06
2,2,410,0.11
1,2,386,0.09
1,2,160,0.12
2,2,548,0.08
2,2,630,0.11
1,2,1421,0.06
1,2,1513,0.08
2,2,1082,0.06
1,2,622,0.09
2,2,656,0.08
1,2,1344,0.05
1,2,1280,0.1
2,2,832,0.11
1,2,575,0.08
1,2,675,0.06
2,2,1058,0.06
2,2,596,0.08
1,2,1541,0.12
2,2,560,0.11
1,2,590,0.1
1,2,1212,0.09
2,2,688,0.06
1,2,573,0.06
1,2,198,0.12
2,2,1030,0.08
1,2,1307,0.05
1,2,1096,0.08
2,2,1296,0.11
2,2,528,0.06
1,2,163,0.06
1,2,685,0.1
1,2,737,0.09
2,2,642,0.11
2,2,1394,0.06
1,2,1110,0.09
1,2,451,0.08
1,2,457,0.05
1,2,1338,0.1
2,2,766,0.08
2,2,592,0.11
2,2,614,0.06
2,2,238,0.08
1,2,855,0.06
1,2,406,0.09
1,2,404,0.1
2,2,482,0.11
2,2,916,0.06
2,2,234,0.08
1,2,1025,0.08
1,2,1086,0.05
2,2,650,0.11
2,2,102,0.08
1,2,478,0.1
2,2,1382,0.06
2,2,536,0.11
1,2,1622,0.06
2,2,828,0.08
1,2,1614,0.09
1,2,1020,0.08
2,2,256,0.06
1,2,769,0.1
1,2,1636,0.05
2,2,888,0.11
2,2,278,0.06
2,2,826,0.08
1,2,538,0.06
1,2,759,0.09
1,2,344,0.05
2,2,740,0.11
1,2,925,0.1
2,2,688,0.08
1,2,1387,0.08
2,2,1176,0.06
1,2,757,0.06
2,2,146,0.11
1,2,572,0.09
1,2,322,0.1
1,2,595,0.05
2,2,1156,0.08
1,2,375,0.08
2,2,790,0.06
2,2,488,0.11
1,2,349,0.06
1,2,455,0.09
1,2,208,0.06
2,2,514,0.11
2,2,1016,0.08
2,2,938,0.06
1,2,553,0.08
1,2,747,0.05
1,2,1000,0.1
1,2,227,0.09
2,2,430,0.08
2,2,514,0.06
1,2,211,0.05
2,2,734,0.11
1,2,620,0.06
1,2,449,0.1
1,2,931,0.08
2,2,300,0.11
1,2,844,0.09
2,2,640,0.06
2,2,754,0.08
1,2,250,0.06
2,2,246,0.11
2,2,298,0.08
1,2,1115,0.05
2,2,688,0.06
1,2,128,0.06
1,2,1154,0.1
2,2,282,0.11
1,2,1140,0.08
1,2,1122,0.09
2,2,936,0.08
1,2,420,0.05
2,2,744,0.06
1,2,510,0.06
1,2,597,0.09
2,2,716,0.08
1,2,959,0.05
2,2,980,0.06
1,2,829,0.06
1,2,843,0.1
2,2,562,0.11
1,2,148,0.09
2,2,1132,0.08
1,2,997,0.05
2,2,796,0.06
2,2,1052,0.11
1,2,646,0.1
1,2,634,0.09
2,2,848,0.08
1,2,1188,0.06
1,2,224,0.05
2,2,888,0.06
1,2,165,0.09
2,2,880,0.11
2,2,704,0.08
1,2,875,0.1
2,2,530,0.06
1,2,547,0.05
2,2,1258,0.11
1,2,826,0.09
1,2,462,0.1
2,2,1454,0.08
2,2,886,0.06
1,2,462,0.05
2,2,524,0.11
1,2,2015,0.06
1,2,164,0.1
2,2,218,0.08
1,2,601,0.09
1,2,184,0.05
2,2,746,0.06
2,2,270,0.11
1,2,114,0.09
2,2,644,0.08
2,2,258,0.11
2,2,410,0.06
1,2,364,0.05
1,2,1153,0.06
1,2,1253,0.1
2,2,836,0.08
2,2,588,0.11
2,2,930,0.06
1,2,880,0.09
1,2,734,0.05
1,2,341,0.06
2,2,534,0.08
2,2,854,0.11
2,2,544,0.06
1,2,776,0.1
1,2,118,0.05
1,2,219,0.06
1,2,618,0.09
2,2,136,0.11
2,2,1072,0.08
1,2,240,0.05
2,2,1282,0.06
1,2,653,0.1
1,2,324,0.09
2,2,450,0.11
1,2,613,0.06
1,2,217,0.05
2,2,780,0.08
2,2,384,0.11
2,2,928,0.06
1,2,584,0.09
1,2,588,0.06
1,2,299,0.05
1,2,846,0.1
2,2,1038,0.08
2,2,494,0.11
2,2,1314,0.06
1,2,894,0.09
2,2,1328,0.11
1,2,929,0.06
2,2,850,0.08
2,2,694,0.06
1,2,1202,0.05
1,2,344,0.1
1,2,634,0.09
2,2,268,0.08
2,2,756,0.11
2,2,412,0.06
1,2,723,0.06
1,2,414,0.05
1,2,503,0.1
2,2,1094,0.08
2,2,698,0.11
1,2,727,0.09
2,2,832,0.06
1,2,193,0.05
1,2,436,0.1
2,2,618,0.08
1,2,867,0.06
2,2,860,0.11
1,2,362,0.05
2,2,1276,0.06
1,2,876,0.09
2,2,648,0.08
2,2,584,0.11
1,2,200,0.05
1,2,921,0.1
2,2,612,0.06
1,2,289,0.09
2,2,308,0.08
1,2,1216,0.06
2,2,434,0.11
1,2,137,0.1
2,2,716,0.08
2,2,1348,0.06
1,2,969,0.05
1,2,403,0.1
2,2,1354,0.11
1,2,1190,0.09
1,2,1105,0.06
2,2,512,0.06
1,2,327,0.05
2,2,456,0.11
1,2,368,0.1
2,2,1730,0.08
2,2,122,0.11
1,2,794,0.09
2,2,1196,0.06
1,2,1027,0.06
2,2,1136,0.08
1,2,1028,0.05
1,2,863,0.1
2,2,814,0.11
2,2,524,0.06
2,2,424,0.08
2,2,626,0.11
2,2,624,0.06
1,2,787,0.06
1,2,818,0.05
1,2,967,0.1
1,2,2007,0.09
2,2,1372,0.08
2,2,542,0.11
1,2,197,0.05
2,2,1116,0.06
1,2,164,0.1
2,2,430,0.11
2,2,612,0.08
1,2,519,0.09
1,2,1503,0.06
2,2,698,0.11
2,2,1030,0.08
1,2,127,0.09
1,2,681,0.06
2,2,574,0.06
2,2,234,0.08
2,2,430,0.11
1,2,324,0.06
2,2,684,0.06
2,2,638,0.08
2,2,818,0.11
1,2,832,0.09
2,2,336,0.08
1,2,582,0.06
2,2,1368,0.06
2,2,1036,0.11
1,2,392,0.09
2,2,670,0.08
2,2,438,0.06
2,2,572,0.11
1,2,732,0.09
1,2,1101,0.06
2,2,1228,0.08
2,2,674,0.06
2,2,628,0.11
1,2,301,0.09
1,2,273,0.06
2,2,284,0.11
2,2,838,0.08
2,2,958,0.06
2,2,588,0.11
1,2,441,0.09
2,2,866,0.08
2,2,1246,0.06
1,2,1168,0.06
2,2,388,0.11
2,2,936,0.08
1,2,798,0.09
2,2,502,0.11
1,2,569,0.06
2,2,2050,0.06
2,2,802,0.08
1,2,410,0.09
2,2,1180,0.11
2,2,624,0.06
1,2,617,0.06
2,2,1320,0.08
1,2,759,0.09
2,2,808,0.11
2,2,1792,0.06
1,2,987,0.06
2,2,790,0.11
2,2,1494,0.08
1,2,888,0.09
2,2,716,0.06
1,2,1084,0.09
1,2,923,0.06
2,2,1558,0.11
2,2,724,0.06
2,2,934,0.08
2,2,960,0.11
1,2,546,0.06
2,2,978,0.06
2,2,892,0.08
1,2,1064,0.09
2,2,852,0.11
1,2,665,0.06
2,2,856,0.08
2,2,986,0.06
1,2,685,0.09
2,2,628,0.11
1,2,152,0.06
2,2,478,0.08
2,2,510,0.06
2,2,254,0.11
1,2,181,0.06
2,2,324,0.06
2,2,1070,0.08
2,2,804,0.11
1,2,1292,0.09
2,2,850,0.06
2,2,520,0.08
1,2,947,0.06
2,2,582,0.11
2,2,338,0.06
1,2,766,0.09
2,2,704,0.08
2,2,810,0.11
2,2,760,0.06
1,2,838,0.06
1,2,289,0.09
2,2,758,0.08
2,2,502,0.11
2,2,906,0.06
2,2,520,0.08
1,2,675,0.06
2,2,482,0.11
2,2,538,0.06
1,2,1217,0.09
2,2,578,0.08
2,2,626,0.11
2,2,380,0.06
2,2,652,0.08
2,2,558,0.11
2,2,174,0.06
2,2,306,0.11
1,2,2018,0.06
1,2,1551,0.09
2,2,752,0.06
2,2,2014,0.08
1,2,83,0.09
1,2,992,0.06
2,2,924,0.11
2,2,1538,0.06
2,2,1130,0.08
2,2,666,0.06
2,2,1100,0.11
1,2,761,0.09
2,2,842,0.08
1,2,986,0.06
2,2,650,0.06
2,2,1058,0.11
1,2,508,0.09
2,2,706,0.08
1,2,538,0.06
2,2,786,0.06
2,2,404,0.11
2,2,1012,0.08
1,2,706,0.09
2,2,980,0.06
2,2,586,0.11
2,2,346,0.08
1,2,1062,0.06
1,2,149,0.09
2,2,536,0.11
2,2,1020,0.06
2,2,948,0.08
1,2,713,0.06
2,2,740,0.11
2,2,742,0.06
1,2,977,0.09
2,2,372,0.08
2,2,560,0.11
2,2,178,0.06
1,2,198,0.09
1,2,660,0.06
2,2,806,0.08
1,2,256,0.09
2,2,1740,0.11
2,2,758,0.08
1,2,809,0.06
2,2,2454,0.06
2,2,462,0.08
2,2,1166,0.11
1,2,557,0.06
2,2,826,0.06
2,2,292,0.08
1,2,1616,0.09
2,2,472,0.11
1,2,275,0.06
2,2,728,0.06
1,2,326,0.09
2,2,478,0.11
2,2,1316,0.08
1,2,592,0.09
2,2,946,0.11
2,2,824,0.08
1,2,204,0.09
2,2,658,0.11
2,2,980,0.08
1,2,712,0.09
2,2,508,0.11
2,2,578,0.08
1,2,1128,0.09
2,2,664,0.11
2,2,668,0.08
1,2,691,0.09
2,2,416,0.08
2,2,892,0.11
1,2,137,0.09
2,2,356,0.08
2,2,322,0.11
1,2,588,0.09
2,2,680,0.08
1,2,748,0.09
2,2,736,0.11
2,2,608,0.08
1,2,1031,0.09
2,2,1344,0.08
2,2,1540,0.11
1,2,1343,0.09
2,2,470,0.11
2,2,1200,0.11
2,2,690,0.08
1,2,1259,0.09
2,2,230,0.11
2,2,392,0.08
1,2,905,0.09
2,2,390,0.11
2,2,484,0.08
1,2,532,0.09
2,2,764,0.11
2,2,558,0.08
1,2,457,0.09
2,2,526,0.11
2,2,1274,0.08
1,2,327,0.09
2,2,1634,0.11
2,2,624,0.08
1,2,641,0.09
2,2,428,0.11
2,2,506,0.08
1,2,272,0.09
2,2,732,0.11
2,2,132,0.08
1,2,1435,0.09
2,2,822,0.11
2,2,682,0.08
2,2,320,0.11
1,2,1359,0.09
2,2,614,0.08
2,2,624,0.11
2,2,838,0.08
1,2,164,0.09
2,2,398,0.11
2,2,724,0.08
2,2,494,0.11
1,2,776,0.09
2,2,428,0.08
2,2,350,0.11
1,2,337,0.09
2,2,380,0.08
2,2,352,0.11
1,2,181,0.09
2,2,1560,0.08
2,2,648,0.11
1,2,207,0.09
2,2,616,0.11
2,2,558,0.08
1,2,701,0.09
2,2,744,0.11
2,2,674,0.08
1,2,1813,0.09
1,2,499,0.09
1,2,1305,0.09
1,2,378,0.09
1,2,1528,0.09
1,2,243,0.09
1,2,805,0.09
1,2,284,0.09
1,2,625,0.09
2,2,974,0.11
1,2,519,0.09
2,2,1104,0.11
2,2,516,0.11
2,2,636,0.11
1,2,1059,0.09
2,2,686,0.11
2,2,434,0.11
2,2,374,0.11
2,2,286,0.11
2,2,274,0.11
2,2,738,0.11
1,2,1782,0.09
2,2,666,0.11
2,2,712,0.11
1,2,1055,0.09
2,2,314,0.11
2,2,334,0.11
2,2,1246,0.11
1,2,926,0.09
1,2,364,0.09
2,2,1448,0.11
1,2,468,0.09
2,2,636,0.11
2,2,466,0.11
1,2,592,0.09
2,2,478,0.11
1,2,171,0.09
1,2,197,0.09
2,2,756,0.11
2,2,880,0.11
1,2,742,0.09
2,2,620,0.11
1,2,578,0.09
2,2,1120,0.11
1,2,500,0.09
2,2,1126,0.11
2,2,618,0.11
2,2,678,0.11
2,2,1198,0.11
1,2,911,0.09
2,2,800,0.11
2,2,492,0.11
2,2,350,0.11
2,2,526,0.11
1,2,1322,0.09
2,2,228,0.11
2,2,656,0.11
1,2,763,0.09
2,2,1046,0.11
2,2,984,0.11
2,2,356,0.11
1,2,1577,0.09
2,2,666,0.11
2,2,426,0.11
2,2,694,0.11
1,2,923,0.09
2,2,732,0.11
2,2,504,0.11
1,2,660,0.09
2,2,884,0.11
2,2,332,0.11
2,2,644,0.11
1,2,679,0.09
2,2,780,0.11
2,2,1040,0.11
2,2,452,0.11
1,2,1444,0.09
2,2,536,0.11
2,2,1020,0.11
1,2,933,0.09
2,2,866,0.11
1,2,213,0.09
2,2,686,0.11
1,2,595,0.09
2,2,888,0.11
1,2,182,0.09
2,2,680,0.11
1,2,455,0.09
2,2,470,0.11
2,2,710,0.11
2,2,448,0.11
1,2,997,0.09
2,2,472,0.11
1,2,557,0.09
2,2,506,0.11
2,2,340,0.11
2,2,648,0.11
2,2,832,0.11
1,2,1361,0.09
2,2,1012,0.11
1,2,688,0.09
2,2,480,0.11
2,2,550,0.11
2,2,594,0.11
2,2,648,0.11
1,2,1308,0.09
2,2,888,0.11
2,2,716,0.11
2,2,596,0.11
1,2,1392,0.09
2,2,954,0.11
2,2,458,0.11
2,2,252,0.11
1,2,1042,0.09
2,2,776,0.08
2,2,822,0.11
2,2,568,0.08
2,2,538,0.11
2,2,304,0.08
2,2,294,0.08
